column,min,max,mean,median,std,q1,q3,outlier_count,outlier_percent,cv
Supply Chain Emission Factors without Margins,0.026,3.846,0.264994094488189,0.159,0.31476825780679674,0.103,0.30225,93,9.153543307086615,1.1878312172002996
Margins of Supply Chain Emission Factors,0.0,0.125,0.01694488188976378,0.0,0.023367125941466598,0.0,0.03025,17,1.673228346456693,1.3790078971032798
Supply Chain Emission Factors with Margins,0.029,3.924,0.28189763779527555,0.173,0.3214166354609928,0.108,0.32925000000000004,84,8.267716535433072,1.1401891763790424
